Filename,Bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
010c1e2ffb9d2fc30a429b7db204ed7b,91456,6.340113,867084.148355,98.174554,3.379609,0.288135
0dbe09fd79fdbb0cd9bc287bbba20ae4,88360,6.310442,791496.760525,103.752943,3.270134,0.337675
1488dbb3a008f457ff9c98689f0c95478255b574d33431eaae8ec2fcea7804c8.elf,75326,6.247418,820552.583013,97.299737,3.407679,0.266996
1ddf2ed66f654b828cf69ae0a0f12856833044a3560d2375dd555fd199f36f1a.elf,69112,6.387666,680172.181966,92.345729,3.468658,0.307747
27d6187c016d10afabb437b27bc8623b363401d56754d7f62967ceb19e6d9c28.elf,78272,6.374337,669569.085854,102.550325,3.283404,0.296137
30d6f04d17c2314808b4cf45f578245d47dd009a30f5b2d93428ebc7fa344e07.elf,30712,7.948372,3614.255796,123.284807,3.216100,0.051264
4104f74e940338379deac6fa0bff564e01a16b0a792ccf6ec39ee880ccad298e.elf,96080,6.378004,780599.806828,104.811563,3.238868,0.358983
41408f712101e34d1fa4f9bf78f263a4efd94f938d10d449e5f6ba89042b9160.elf,94488,6.243382,968512.752519,104.211625,3.217424,0.373691
4a8b09557c61dfc2e7a850b1b2c5c81f3edcfb9f194cccc587b61bffa01936cf.elf,80542,6.250008,782373.571006,94.062266,3.499367,0.267469
4adbfd0bf664acf9a00d5b5d947256ad77c9bed9f751dc92b7ee79d8a3fad596.elf,69742,6.310144,678005.677096,98.197700,3.417362,0.260879
4c0b6dc763db2c0af6341e7132f159e487330f0e2203bffd86f4018980d8115c.elf,42432,7.891202,7857.230769,112.273049,3.377828,0.038868
50381f61ef742cf02fae1e58bfcfeb74d8607b532e995db6d006133fdd49c951.elf,82368,6.160305,978049.056721,90.573050,3.422203,0.336988
53a79c48d79a2fd115cbfab0980e2c957c33111bc2b7e35edcc726af9e4ceee2.elf,75710,6.264644,733222.834447,94.005838,3.501981,0.265428
545669d87a4f72c762f24e9dd3f36e35f74428f2ca9ce57fde23cd2f8dbc2296.elf,54296,7.897673,9196.120819,112.874632,3.375401,0.029432
55b5f6596994fbaef8be464a88155716926c4ac6c2339ce4310c9fcc099f63e3.elf,58534,6.235560,585069.558410,95.854905,3.457099,0.274017
57bd2e91d8f8c824084bad0078d7d65eba6792f4fccb95b55f7081c419894ce1.elf,71824,6.100583,767904.081978,93.817289,3.521136,0.260015
5930b55e90de6c5549b2e0e077695aa0b9890dd92f2d001e4a6e2393e7b3c321.elf,66302,6.220758,667678.178456,93.505053,3.537738,0.270602
59d90ed186faf2c5635791f335a587fae4a069f7afed63241bf6625cf55afcd1.elf,66088,6.373268,582658.338700,101.251483,3.320864,0.293246
5a88c770aef6ae42389637c81f10ab0c530195a247da3f4d50303d455040c0dc.elf,210496,5.900870,2947239.399209,74.678455,3.652015,0.421148
