Filename,Bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
010c1e2ffb9d2fc30a429b7db204ed7b,116913,6.052444,1984635.984424,85.431586,3.524968,0.368237
0dbe09fd79fdbb0cd9bc287bbba20ae4,112607,6.040524,1779419.097703,89.785528,3.436671,0.417291
1488dbb3a008f457ff9c98689f0c95478255b574d33431eaae8ec2fcea7804c8.elf,74814,6.250708,814644.658326,97.171987,3.406207,0.265887
1ddf2ed66f654b828cf69ae0a0f12856833044a3560d2375dd555fd199f36f1a.elf,92670,6.005625,1745106.606712,79.536495,3.617222,0.383167
27d6187c016d10afabb437b27bc8623b363401d56754d7f62967ceb19e6d9c28.elf,99412,6.074585,1605782.250352,88.039724,3.454370,0.393234
30d6f04d17c2314808b4cf45f578245d47dd009a30f5b2d93428ebc7fa344e07.elf,30712,7.948372,3614.255796,123.284807,3.216100,0.051264
4104f74e940338379deac6fa0bff564e01a16b0a792ccf6ec39ee880ccad298e.elf,122520,6.104427,1775941.582501,91.012961,3.402547,0.433823
41408f712101e34d1fa4f9bf78f263a4efd94f938d10d449e5f6ba89042b9160.elf,120297,5.990738,2033560.875891,90.682885,3.372537,0.440536
4a8b09557c61dfc2e7a850b1b2c5c81f3edcfb9f194cccc587b61bffa01936cf.elf,75102,6.292272,739339.608266,93.388405,3.502756,0.277847
4adbfd0bf664acf9a00d5b5d947256ad77c9bed9f751dc92b7ee79d8a3fad596.elf,68974,6.322354,665971.119958,98.097051,3.431057,0.257120
4c0b6dc763db2c0af6341e7132f159e487330f0e2203bffd86f4018980d8115c.elf,42432,7.891202,7857.230769,112.273049,3.377828,0.038868
50381f61ef742cf02fae1e58bfcfeb74d8607b532e995db6d006133fdd49c951.elf,106469,5.860016,2181956.058487,78.528520,3.575293,0.402727
53a79c48d79a2fd115cbfab0980e2c957c33111bc2b7e35edcc726af9e4ceee2.elf,70366,6.312009,689255.197055,93.329534,3.507120,0.274994
545669d87a4f72c762f24e9dd3f36e35f74428f2ca9ce57fde23cd2f8dbc2296.elf,54296,7.897673,9196.120819,112.874632,3.375401,0.029432
55b5f6596994fbaef8be464a88155716926c4ac6c2339ce4310c9fcc099f63e3.elf,54278,6.268933,552188.216736,94.953738,3.475127,0.281595
57bd2e91d8f8c824084bad0078d7d65eba6792f4fccb95b55f7081c419894ce1.elf,59600,6.179245,653156.995436,91.638523,3.515554,0.277642
5930b55e90de6c5549b2e0e077695aa0b9890dd92f2d001e4a6e2393e7b3c321.elf,61022,6.263294,626956.700928,92.649192,3.524090,0.280351
59d90ed186faf2c5635791f335a587fae4a069f7afed63241bf6625cf55afcd1.elf,90059,6.012901,1579318.182514,85.533295,3.511493,0.388862
5a88c770aef6ae42389637c81f10ab0c530195a247da3f4d50303d455040c0dc.elf,238591,5.809582,4196527.212104,70.876760,3.696919,0.435866
629d81986bb01d49eaec5ec578c721e7184ba428d6e3d69efd3401b42b908e72.elf,134537,6.129798,1965246.662190,89.711373,3.466239,0.403956
64c6f5039b72a83c7f81b094177ddf675c73a8cbdb0fae6f3f55f528213d1c00.elf,120425,5.990435,2036730.825651,90.736159,3.384953,0.441201
6739b6d2bc0133ee200811665c164c0e0866cc9223a00819844d58568a7e4ca6.elf,153886,6.221790,1607549.989551,96.900238,3.399852,0.343051
6a3084bc7ee9501e33dcefceaab00ec8135e523d811ab8cc5c389df1511858b9.elf,84423,5.959098,1573335.567594,83.019698,3.545700,0.383576
6c2ddfac018f28f75d48bd9306e2202f439789fc0378acf082c39e168dc69034.elf,42096,5.332326,1332845.105283,78.183058,3.413911,0.541555
6db50873565946688adbc295b71df792,116976,6.054312,1982631.307345,85.494580,3.515798,0.367171
7311111bc744b185239be8f0ec37b566709dda7260a96a8f506b225ed0c4bdd8.elf,106469,5.861797,2184392.455034,78.532502,3.578224,0.403536
74546959f0ac470265812ed94586103402c81263c36fb1541e3a36b627761a00.elf,70334,6.314306,686069.695737,93.373077,3.514076,0.274481
76332198516a084c7e23fcd1e1a8a5160ca706b18ceb93c731c50ac75a19b946.elf,1207929,5.716446,31099204.332453,73.853207,3.602207,0.441593
78a1b5bea50034e7a03e6ed5c0f4f80f1fbc770555891a73790e1b59a2fba608.elf,109106,6.360918,755578.934797,100.472256,3.358777,0.222290
7aef6136fa14af5a22ed5ecb1659816e0626b0266e9303628170c88cfb8c8de0.elf,86622,6.269625,920161.909861,93.104154,3.519845,0.262390
7f62c5975b3c8cd99f84d52a7453307865b523e97685bc85b3bdbdbd11384143.elf,70302,6.314789,684931.166169,93.390586,3.484168,0.274411
818675ba09b4883e57790aff9a79669275dfe088d02dc5f5cf459b16375d17db.elf,83966,6.215881,946461.433580,95.193888,3.436616,0.280434
85a1e5d57b3ba79e0051a0cc4c53067621384fb369ff4f54ebe3ec551d4f6e8c.elf,43840,7.971271,2512.105109,124.967153,3.156857,0.037581
8a9b9d1afdd1d4f8fdadcb4525992a98dd373a33c02fc171c42148df0bff623b.elf,42772,7.888693,8210.317404,112.339545,3.351291,0.039527
8c0e1b9faeacac7b923f6f907f740c8b65d31c22248b3a765775809fc23002b5.elf,122199,6.106284,1772564.307196,90.967291,3.401159,0.433873
90a1b0edb95f9eb75402ac65073554a1c79011d7b3bfc3e9ee4cc7a532b4aff3.elf,29440,7.943852,3876.295652,123.321807,3.178965,0.058431
932e10b20a250b27a32dfd66c3663f8e,116667,6.062893,1920966.677527,86.220697,3.502160,0.381382
99942efd8f186320dae03896a8d9663c3432a4a45ea17f07675278abb9fbcbe0.elf,84551,5.960619,1572728.124221,83.149827,3.542403,0.385538
9fc929ce4ebf76192ac2ad62a29755feeed57fae7d4420f9f42acddc42e5efdc.elf,37380,7.960036,3192.425040,123.664580,3.183307,0.039201
9fe9e5993a433cc5bf469b0445e86e9e94301fb327f6700a000297e800a0e40a.elf,137566,6.402901,1249100.356513,94.349309,3.471191,0.273056
a05ae421b9eb7fd32c1dcf46b01d89cdc4025f6c145ca59d611f4d4e50bded30.elf,119824,6.084241,1873310.993724,88.195387,3.462193,0.391708
a52f419baec4909aecdbe1e1e735724370a3822574cc452e87b7a62cb89df754.elf,107862,6.083948,1740014.297046,85.273266,3.535406,0.379458
