name,add,sub,mov,and,xor,nop,push,pop,garbage
ecad7f662eef8b387ca73d3134c160dcaf1babce36f3abeca0a45307a32007ad.elf,68,64,1292,5,0,202,173,166,615
5a88c770aef6ae42389637c81f10ab0c530195a247da3f4d50303d455040c0dc.elf,305,170,3407,13,0,8,329,269,1916
74546959f0ac470265812ed94586103402c81263c36fb1541e3a36b627761a00.elf,175,128,3090,10,0,464,339,348,1648
e9cc7fdfa3cf40ff9c3db0248a79f4817b170f2660aa2b2ed6c551eae1c38e0b.elf,833,533,7681,25,0,1016,756,621,3791
b5a8516154526c6337caf6b316ed2bf612be7a5ced849ac73a09c4ec4e753166.elf,119,102,2041,13,0,154,271,287,1036
629d81986bb01d49eaec5ec578c721e7184ba428d6e3d69efd3401b42b908e72.elf,262,142,3735,9,0,11,254,196,1901
c4218f2f52d9271d7abe42d68bd8555f125589ebd857c53cc77d9b00b385b8a7.elf,65,66,1119,4,0,3,108,89,631
f9f969a431b4334e480cc7659c865418df5220bd694dc0617e1af65678bd7834.elf,598,242,5635,17,0,632,495,598,2786
818675ba09b4883e57790aff9a79669275dfe088d02dc5f5cf459b16375d17db.elf,205,128,3925,17,0,566,332,347,2108
59d90ed186faf2c5635791f335a587fae4a069f7afed63241bf6625cf55afcd1.elf,196,109,1930,6,0,13,208,174,1040
f97396cb3dc5e9d24f1e85fd35bc4035d7a54057c0219121786f5428770a29ce.elf,-1,-1,-1,-1,-1,-1,-1,-1,-1
57bd2e91d8f8c824084bad0078d7d65eba6792f4fccb95b55f7081c419894ce1.elf,263,146,2448,23,0,448,267,299,1407
d0188e8a46a68363e7852e6a61b2bb65b461458c175764c735292be9da020d36.elf,145,109,2663,10,0,453,301,300,1484
