Filename,Bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
b092fa82c44bd26747cd0a238bd1d81029855dc6b039e1ec9e9c9fbe9dac597d.elf,75774,6.374746,624195.501729,94.131787,3.541373,0.247150
b5a8516154526c6337caf6b316ed2bf612be7a5ced849ac73a09c4ec4e753166.elf,49008,5.638306,1005964.594189,83.302379,3.475514,0.404645
c4218f2f52d9271d7abe42d68bd8555f125589ebd857c53cc77d9b00b385b8a7.elf,117321,6.016486,1977654.785068,90.548793,3.377078,0.448425
c851900d3053c568a6fc06954dfe9669af341688f0e7b9395edbfdce8dcc9062.elf,153352,6.242120,1903421.465491,85.462315,3.559120,0.435398
ce0efa630175ce9a8bee1758994ea02df33cb36e136ab9aec632b0126f91bbce.elf,75710,6.376074,622432.120829,94.020486,3.538120,0.246990
d0188e8a46a68363e7852e6a61b2bb65b461458c175764c735292be9da020d36.elf,62046,6.334537,543247.882861,92.808255,3.543951,0.253640
d661a2eb46380a121dd4625e9997b857b1911494d68cb06cb5c06a19e4a5a028.elf,61886,6.336906,539206.690948,92.799373,3.546248,0.256539
dffb31311e22e5cf804b010bfab84944de6bdf596f3bdad5e5fd57fde68329ad.elf,84798,6.318260,762555.080592,95.913300,3.428571,0.252675
e0a10d6ea3f6debeb7882586b7b8452c1cf01d922bbf62fba57d3317e000bb04.elf,77822,6.386393,630436.260749,94.024903,3.521049,0.249787
e840315f365377541d062a6c0e353bc6f6c3e7c32c53cc4b325127fb8680de9c.elf,70974,6.387740,583958.150252,93.993406,3.528278,0.247946
e8adcbe01f9303f82ec813bcb934f85f47d45c98ad1f8fa154ef3f7f705b4cb1.elf,122999,6.185694,1599237.941504,91.388710,3.423582,0.432890
e9cc7fdfa3cf40ff9c3db0248a79f4817b170f2660aa2b2ed6c551eae1c38e0b.elf,2300330,6.545278,24567617.332635,92.885728,3.385865,0.340813
ecad7f662eef8b387ca73d3134c160dcaf1babce36f3abeca0a45307a32007ad.elf,26846,6.029784,321495.677419,89.267563,3.541350,0.273977
f0fd6a084c2403c343ecb5e8a0fba089a0edd895e214d56cd29e7061d3644230.elf,61286,6.297655,529749.720523,96.420031,3.454866,0.242789
f5968ced46e935dbe5f5e82dc635dc85090b3edf17e399edd40474a69ce5be8e.elf,159046,5.372948,4495930.690517,76.462772,3.581092,0.421623
f97396cb3dc5e9d24f1e85fd35bc4035d7a54057c0219121786f5428770a29ce.elf,37372,7.959288,3245.703093,123.650541,3.177264,0.038790
f9f969a431b4334e480cc7659c865418df5220bd694dc0617e1af65678bd7834.elf,124574,6.429332,993641.262382,94.289306,3.556112,0.232813
fc971b9bf221082057f917bd4afd425097ce7ce0258c97e9ceb4892858eb0af1.elf,123288,6.187216,1598586.883135,91.425832,3.424178,0.433767
ff13b9d3942b0f176613a288a016be0b09c531e60fee992efb24e95aa613c0d7.elf,121097,6.083046,1820589.419845,91.361561,3.400059,0.439773
