Filename,Bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
010c1e2ffb9d2fc30a429b7db204ed7b,112913,5.952109,2210968.743147,83.745902,3.555957,0.390687
0dbe09fd79fdbb0cd9bc287bbba20ae4,107391,5.986146,1834527.809584,89.282538,3.431668,0.433930
1488dbb3a008f457ff9c98689f0c95478255b574d33431eaae8ec2fcea7804c8.elf,68512,6.215429,818359.615133,97.667839,3.386933,0.295810
1ddf2ed66f654b828cf69ae0a0f12856833044a3560d2375dd555fd199f36f1a.elf,88798,5.957822,1800107.770310,78.753001,3.613758,0.398849
27d6187c016d10afabb437b27bc8623b363401d56754d7f62967ceb19e6d9c28.elf,94676,6.026135,1655317.129917,87.509643,3.446860,0.408968
30d6f04d17c2314808b4cf45f578245d47dd009a30f5b2d93428ebc7fa344e07.elf,30712,7.948372,3614.255796,123.284807,3.216100,0.051264
4104f74e940338379deac6fa0bff564e01a16b0a792ccf6ec39ee880ccad298e.elf,116760,6.062411,1823166.135800,90.536228,3.400411,0.452660
41408f712101e34d1fa4f9bf78f263a4efd94f938d10d449e5f6ba89042b9160.elf,114825,5.940532,2093601.998859,90.215850,3.381094,0.455978
4a8b09557c61dfc2e7a850b1b2c5c81f3edcfb9f194cccc587b61bffa01936cf.elf,67392,6.273127,759784.357075,92.773593,3.483618,0.319054
4adbfd0bf664acf9a00d5b5d947256ad77c9bed9f751dc92b7ee79d8a3fad596.elf,63696,6.118791,960874.437578,92.981945,3.429540,0.352092
4c0b6dc763db2c0af6341e7132f159e487330f0e2203bffd86f4018980d8115c.elf,42432,7.891202,7857.230769,112.273049,3.377828,0.038868
50381f61ef742cf02fae1e58bfcfeb74d8607b532e995db6d006133fdd49c951.elf,101269,5.803134,2264604.601596,77.602484,3.567010,0.419644
53a79c48d79a2fd115cbfab0980e2c957c33111bc2b7e35edcc726af9e4ceee2.elf,63296,6.274458,736321.528817,92.147403,3.494928,0.321299
545669d87a4f72c762f24e9dd3f36e35f74428f2ca9ce57fde23cd2f8dbc2296.elf,54296,7.897673,9196.120819,112.874632,3.375401,0.029432
55b5f6596994fbaef8be464a88155716926c4ac6c2339ce4310c9fcc099f63e3.elf,51880,5.930179,934431.056284,87.412047,3.494333,0.370427
57bd2e91d8f8c824084bad0078d7d65eba6792f4fccb95b55f7081c419894ce1.elf,52368,6.184707,636419.876566,90.672892,3.520623,0.312684
5930b55e90de6c5549b2e0e077695aa0b9890dd92f2d001e4a6e2393e7b3c321.elf,55104,6.206120,692713.598142,90.925541,3.498258,0.332974
59d90ed186faf2c5635791f335a587fae4a069f7afed63241bf6625cf55afcd1.elf,85803,5.963298,1631205.069555,84.891344,3.495944,0.406336
5a88c770aef6ae42389637c81f10ab0c530195a247da3f4d50303d455040c0dc.elf,231647,5.757994,4299768.216290,70.089580,3.702230,0.447143
629d81986bb01d49eaec5ec578c721e7184ba428d6e3d69efd3401b42b908e72.elf,128713,6.083121,2018588.258956,89.132520,3.499347,0.418190
64c6f5039b72a83c7f81b094177ddf675c73a8cbdb0fae6f3f55f528213d1c00.elf,114825,5.940666,2093219.767951,90.217531,3.381094,0.455964
6739b6d2bc0133ee200811665c164c0e0866cc9223a00819844d58568a7e4ca6.elf,145600,6.175273,1643811.565714,96.905165,3.421413,0.353747
6a3084bc7ee9501e33dcefceaab00ec8135e523d811ab8cc5c389df1511858b9.elf,80455,5.906696,1628813.388838,82.439960,3.547170,0.400530
6c2ddfac018f28f75d48bd9306e2202f439789fc0378acf082c39e168dc69034.elf,42096,5.146430,1542622.680350,75.357706,3.416762,0.564824
6db50873565946688adbc295b71df792,112912,5.952054,2210672.185915,83.748459,3.555957,0.390606
7311111bc744b185239be8f0ec37b566709dda7260a96a8f506b225ed0c4bdd8.elf,101269,5.803175,2264600.455806,77.602652,3.567010,0.419644
74546959f0ac470265812ed94586103402c81263c36fb1541e3a36b627761a00.elf,63296,6.274322,736418.281092,92.145143,3.494549,0.321203
76332198516a084c7e23fcd1e1a8a5160ca706b18ceb93c731c50ac75a19b946.elf,1041776,6.158385,16188496.411851,82.568441,3.546504,0.390538
78a1b5bea50034e7a03e6ed5c0f4f80f1fbc770555891a73790e1b59a2fba608.elf,95480,6.350499,811307.477503,100.974665,3.315025,0.285812
7aef6136fa14af5a22ed5ecb1659816e0626b0266e9303628170c88cfb8c8de0.elf,77120,6.266168,907892.859751,93.137409,3.504240,0.302226
7f62c5975b3c8cd99f84d52a7453307865b523e97685bc85b3bdbdbd11384143.elf,63296,6.274781,736196.359960,92.152316,3.494549,0.321139
818675ba09b4883e57790aff9a79669275dfe088d02dc5f5cf459b16375d17db.elf,75776,6.195980,949330.574324,95.214751,3.411830,0.312318
85a1e5d57b3ba79e0051a0cc4c53067621384fb369ff4f54ebe3ec551d4f6e8c.elf,43840,7.971271,2512.105109,124.967153,3.156857,0.037581
8a9b9d1afdd1d4f8fdadcb4525992a98dd373a33c02fc171c42148df0bff623b.elf,42772,7.888693,8210.317404,112.339545,3.351291,0.039527
8c0e1b9faeacac7b923f6f907f740c8b65d31c22248b3a765775809fc23002b5.elf,116503,6.059914,1819113.795447,90.553917,3.393315,0.451494
90a1b0edb95f9eb75402ac65073554a1c79011d7b3bfc3e9ee4cc7a532b4aff3.elf,29440,7.943852,3876.295652,123.321807,3.178965,0.058431
932e10b20a250b27a32dfd66c3663f8e,113211,5.939981,2203209.073668,83.948247,3.511342,0.408407
99942efd8f186320dae03896a8d9663c3432a4a45ea17f07675278abb9fbcbe0.elf,80455,5.907044,1628656.202834,82.440830,3.547170,0.400530
9fc929ce4ebf76192ac2ad62a29755feeed57fae7d4420f9f42acddc42e5efdc.elf,37380,7.960036,3192.425040,123.664580,3.183307,0.039201
9fe9e5993a433cc5bf469b0445e86e9e94301fb327f6700a000297e800a0e40a.elf,125056,6.406162,1236952.753327,93.770711,3.460321,0.301940
a05ae421b9eb7fd32c1dcf46b01d89cdc4025f6c145ca59d611f4d4e50bded30.elf,113968,6.034101,1928859.644532,87.564790,3.458987,0.406996
a52f419baec4909aecdbe1e1e735724370a3822574cc452e87b7a62cb89df754.elf,102934,6.016485,1843983.673538,84.112091,3.513378,0.397593
a947b6265e4273af26dfa3aa7400946aeab229ac994dfb07d33b8c7dbd89d46d.elf,54528,5.866407,1046157.201878,85.760508,3.545775,0.370105
ab27f6c7634e9efc13fb2db29216a0a8,8040,4.092348,607324.139303,45.452736,3.770149,0.576918
afa8a32ec29a31f152ba20a30eb483520fe50f2dce6c9aa9135d88f7c9c511d7.elf,302576,6.345114,3242884.677912,92.375724,3.334510,0.372179
arc5l,82818,4.959239,3682965.195730,78.876416,3.342172,0.484890
arc64,84488,5.025908,3658725.910804,75.351423,3.424473,0.483979
arc64.1,85128,5.019130,3704392.335307,75.127549,3.426840,0.482969
b092fa82c44bd26747cd0a238bd1d81029855dc6b039e1ec9e9c9fbe9dac597d.elf,67392,6.273092,757499.623932,92.949000,3.486111,0.318015
b5a8516154526c6337caf6b316ed2bf612be7a5ced849ac73a09c4ec4e753166.elf,49008,4.970325,2111752.812276,71.916503,3.490695,0.514843
bash,269829,4.850505,13241848.329271,65.189442,3.671522,0.514191
bash.1,269829,4.850505,13241848.329271,65.189442,3.671522,0.514191
bash.2,269829,4.850505,13241848.329271,65.189442,3.671522,0.514191
bash.3,269829,4.850505,13241848.329271,65.189442,3.671522,0.514191
bash.4,269829,4.850505,13241848.329271,65.189442,3.671522,0.514191
bash.5,269829,4.850505,13241848.329271,65.189442,3.671522,0.514191
c4218f2f52d9271d7abe42d68bd8555f125589ebd857c53cc77d9b00b385b8a7.elf,114825,5.940885,2092829.475245,90.219290,3.381094,0.455949
c851900d3053c568a6fc06954dfe9669af341688f0e7b9395edbfdce8dcc9062.elf,149096,6.155656,2080294.357676,85.059774,3.554107,0.445593
c8c246c326471e3825d3ca9663c0e56c,107391,5.986005,1835475.503748,89.277304,3.431668,0.433973
ce0efa630175ce9a8bee1758994ea02df33cb36e136ab9aec632b0126f91bbce.elf,67392,6.273127,760098.598291,92.771798,3.483618,0.319111
d0188e8a46a68363e7852e6a61b2bb65b461458c175764c735292be9da020d36.elf,55104,6.229815,660279.674797,91.265752,3.498258,0.327391
d661a2eb46380a121dd4625e9997b857b1911494d68cb06cb5c06a19e4a5a028.elf,55104,6.229777,660459.409988,91.263084,3.498258,0.327413
dffb31311e22e5cf804b010bfab84944de6bdf596f3bdad5e5fd57fde68329ad.elf,75680,6.194711,947914.073573,95.044450,3.412987,0.310760
do.x86,72976,5.678446,1454485.430388,99.051853,3.122842,0.453640
e0a10d6ea3f6debeb7882586b7b8452c1cf01d922bbf62fba57d3317e000bb04.elf,71488,6.161681,963557.844226,90.242432,3.496727,0.346106
e54ad8dadb4dadcdf6c0e3a13a077192,112915,5.953336,2209296.631192,83.757827,3.556193,0.390377
e840315f365377541d062a6c0e353bc6f6c3e7c32c53cc4b325127fb8680de9c.elf,63296,6.274840,735859.445905,92.152600,3.494928,0.321269
e8adcbe01f9303f82ec813bcb934f85f47d45c98ad1f8fa154ef3f7f705b4cb1.elf,116503,6.059947,1819111.237711,90.553119,3.393315,0.451518
ecad7f662eef8b387ca73d3134c160dcaf1babce36f3abeca0a45307a32007ad.elf,23232,5.914295,382910.677686,88.026730,3.520661,0.344159
f0fd6a084c2403c343ecb5e8a0fba089a0edd895e214d56cd29e7061d3644230.elf,54600,6.151560,693554.739341,94.892857,3.414066,0.334028
f5968ced46e935dbe5f5e82dc635dc85090b3edf17e399edd40474a69ce5be8e.elf,138920,5.152676,5467513.811460,73.052887,3.546495,0.490950
f97396cb3dc5e9d24f1e85fd35bc4035d7a54057c0219121786f5428770a29ce.elf,37372,7.959288,3245.703093,123.650541,3.177264,0.038790
f9f969a431b4334e480cc7659c865418df5220bd694dc0617e1af65678bd7834.elf,114432,6.209776,1561783.753915,89.648009,3.534815,0.321183
fc971b9bf221082057f917bd4afd425097ce7ce0258c97e9ceb4892858eb0af1.elf,116760,6.062440,1823166.398904,90.535791,3.400411,0.452674
ff13b9d3942b0f176613a288a016be0b09c531e60fee992efb24e95aa613c0d7.elf,114825,5.940719,2093093.039869,90.217757,3.381094,0.455962
FUS4,201472,5.230445,7932237.875476,67.945238,3.656323,0.501080
fyfa3,104206,6.050385,1806020.880755,84.936501,3.467496,0.359403
HIH4,205344,5.158957,8532097.715443,66.670451,3.661524,0.506160
hohox86,21364,4.876558,973796.265119,71.230434,3.400000,0.533372
IOK4,205416,5.237601,8070617.196401,67.906960,3.655217,0.501125
k5l,110843,5.901386,1916697.830039,92.656280,3.293239,0.428647
k5l.1,110843,5.901386,1916697.830039,92.656280,3.293239,0.428647
k64,117096,5.916891,2010354.016260,89.041120,3.383890,0.430985
k64.1,116584,5.911381,2010570.904001,89.139007,3.382604,0.430716
k64.2,44656,5.265637,1324368.435686,89.000627,3.215802,0.579655
ohx64,144508,5.946932,2837613.115398,82.031998,3.518186,0.446730
SSS4,201472,5.230254,7932240.409149,67.946926,3.656323,0.501061
