Filename,Bytes,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
ab27f6c7634e9efc13fb2db29216a0a8,9584,4.467888,531824.908180,54.444073,3.744521,0.533192
afa8a32ec29a31f152ba20a30eb483520fe50f2dce6c9aa9135d88f7c9c511d7.elf,338826,6.378560,2902394.720677,94.384637,3.360167,0.323022
arc5l,78448,5.289950,2560098.483378,87.690483,3.267554,0.437527
arc64,77176,5.270962,2687227.288898,82.600381,3.342870,0.442464
arc64.1,77752,5.259124,2740611.950201,82.233705,3.346504,0.443296
b092fa82c44bd26747cd0a238bd1d81029855dc6b039e1ec9e9c9fbe9dac597d.elf,77054,6.270962,757836.952112,93.543346,3.501324,0.273077
b5a8516154526c6337caf6b316ed2bf612be7a5ced849ac73a09c4ec4e753166.elf,49008,5.622446,1038887.224290,84.683725,3.444662,0.405181
bash,232304,4.944293,9870187.442110,70.444327,3.598316,0.487547
bash.1,232176,4.945146,9865900.899456,70.417993,3.602750,0.487546
bash.2,232304,4.945382,9869207.744886,70.432864,3.601725,0.486914
bash.3,232144,4.944242,9871226.240265,70.370959,3.603825,0.486507
bash.4,232272,4.944325,9871480.625474,70.412211,3.592994,0.486749
bash.5,232304,4.945146,9873172.416833,70.417414,3.603895,0.487457
c4218f2f52d9271d7abe42d68bd8555f125589ebd857c53cc77d9b00b385b8a7.elf,94488,6.243896,969091.483532,104.159544,3.195326,0.374276
c851900d3053c568a6fc06954dfe9669af341688f0e7b9395edbfdce8dcc9062.elf,129592,6.447512,1003984.249398,94.621474,3.441985,0.380199
c8c246c326471e3825d3ca9663c0e56c,88456,6.311378,790533.405445,103.699794,3.278253,0.336988
ce0efa630175ce9a8bee1758994ea02df33cb36e136ab9aec632b0126f91bbce.elf,77374,6.270424,754759.826453,93.668364,3.495618,0.270871
d0188e8a46a68363e7852e6a61b2bb65b461458c175764c735292be9da020d36.elf,63742,6.227995,657430.795833,92.331053,3.530453,0.278928
d661a2eb46380a121dd4625e9997b857b1911494d68cb06cb5c06a19e4a5a028.elf,63742,6.225986,658119.363622,92.379122,3.516521,0.277181
dffb31311e22e5cf804b010bfab84944de6bdf596f3bdad5e5fd57fde68329ad.elf,84190,6.210050,949928.723079,95.121428,3.433540,0.277462
do.x86,76547,5.866433,1248553.884528,100.241969,3.136788,0.417033
