name,harmless,malicious,suspicious,failure,timeout,type-unsupported,undetected,detection rate,drate
Bkav,0,0,0,0,0,0,87,0.0,"0,00"
Lionic,0,37,0,0,0,0,50,0.43,"0,42"
Elastic,0,75,0,0,0,0,12,0.86,"0,86"
MicroWorld-eScan,0,13,0,0,0,0,74,0.15,"0,14"
CMC,0,0,0,0,0,0,87,0.0,"0,00"
CAT-QuickHeal,0,3,0,0,0,0,84,0.03,"0,03"
ALYac,0,13,0,0,0,0,74,0.15,"0,14"
Malwarebytes,0,0,0,0,0,0,87,0.0,"0,00"
Zillya,0,0,0,0,0,0,87,0.0,"0,00"
Paloalto,0,0,0,0,0,87,0,0,"0,00"
Sangfor,0,78,0,0,0,0,9,0.9,"0,89"
K7AntiVirus,0,0,0,0,0,0,87,0.0,"0,00"
Alibaba,0,0,0,0,0,87,0,0,"0,00"
K7GW,0,0,0,0,0,0,87,0.0,"0,00"
Trustlook,0,0,0,0,0,87,0,0,"0,00"
Baidu,0,0,0,0,1,0,86,0.0,"0,00"
VirIT,0,0,0,0,1,0,86,0.0,"0,00"
Cyren,0,17,0,0,0,0,70,0.2,"0,19"
SymantecMobileInsight,0,0,0,0,0,87,0,0,"0,00"
Symantec,0,39,0,0,0,0,48,0.45,"0,44"
tehtris,0,0,0,0,0,87,0,0,"0,00"
ESET-NOD32,0,18,0,0,0,0,69,0.21,"0,20"
APEX,0,0,0,0,0,87,0,0,"0,00"
TrendMicro-HouseCall,0,42,0,0,0,0,45,0.48,"0,48"
Avast,0,81,0,0,0,0,0,1.0,"0,93"
ClamAV,0,72,0,0,1,0,14,0.83,"0,82"
Kaspersky,0,62,0,0,0,0,25,0.71,"0,71"
BitDefender,0,13,0,0,0,0,74,0.15,"0,14"
NANO-Antivirus,0,0,0,0,0,0,87,0.0,"0,00"
ViRobot,0,0,0,0,0,0,87,0.0,"0,00"
Tencent,0,51,0,1,0,0,35,0.59,"0,58"
TACHYON,0,0,0,0,0,0,87,0.0,"0,00"
Emsisoft,0,13,0,0,1,0,73,0.15,"0,14"
F-Secure,0,44,0,0,0,0,43,0.51,"0,50"
DrWeb,0,29,0,0,0,0,58,0.33,"0,33"
VIPRE,0,13,0,0,0,0,74,0.15,"0,14"
TrendMicro,0,35,0,0,0,0,52,0.4,"0,40"
McAfee-GW-Edition,0,73,0,0,0,0,14,0.84,"0,83"
Trapmine,0,0,0,0,0,87,0,0,"0,00"
FireEye,0,13,0,0,0,0,74,0.15,"0,14"
Sophos,0,53,0,0,0,0,34,0.61,"0,60"
Ikarus,0,16,0,0,0,0,71,0.18,"0,18"
GData,0,54,0,0,0,0,33,0.62,"0,62"
Jiangmin,0,2,0,0,0,0,85,0.02,"0,02"
Webroot,0,0,0,0,0,87,0,0,"0,00"
Avira,0,44,0,0,0,0,43,0.51,"0,50"
Antiy-AVL,0,35,0,0,0,0,52,0.4,"0,40"
Microsoft,0,72,0,0,2,0,13,0.83,"0,82"
Gridinsoft,0,8,0,0,0,0,79,0.09,"0,09"
Xcitium,0,0,0,0,0,0,87,0.0,"0,00"
Arcabit,0,13,0,0,0,0,74,0.15,"0,14"
SUPERAntiSpyware,0,0,0,0,0,0,87,0.0,"0,00"
ZoneAlarm,0,62,0,0,0,0,25,0.71,"0,71"
Avast-Mobile,0,73,0,0,0,0,14,0.84,"0,83"
Cynet,0,44,0,0,0,0,43,0.51,"0,50"
BitDefenderFalx,0,0,0,0,0,87,0,0,"0,00"
AhnLab-V3,0,3,0,0,0,0,84,0.03,"0,03"
Acronis,0,0,0,0,0,0,87,0.0,"0,00"
McAfee,0,47,0,0,0,0,40,0.54,"0,54"
MAX,0,13,0,0,0,0,74,0.15,"0,14"
DeepInstinct,0,0,0,0,0,87,0,0,"0,00"
VBA32,0,0,0,0,0,0,87,0.0,"0,00"
Cylance,0,0,0,0,0,87,0,0,"0,00"
Zoner,0,0,0,0,0,0,87,0.0,"0,00"
Rising,0,70,0,0,0,0,17,0.8,"0,80"
Yandex,0,0,0,0,0,0,87,0.0,"0,00"
SentinelOne,0,67,0,0,0,0,20,0.77,"0,77"
MaxSecure,0,48,0,0,1,0,38,0.55,"0,55"
Fortinet,0,34,0,0,0,0,53,0.39,"0,39"
BitDefenderTheta,0,26,0,0,0,0,61,0.3,"0,29"
AVG,0,79,0,0,0,0,0,1.0,"0,90"
Cybereason,0,0,0,0,0,87,0,0,"0,00"
Panda,0,1,0,0,0,0,86,0.01,"0,01"
CrowdStrike,0,0,0,0,0,87,0,0,"0,00"
Google,0,55,0,0,0,0,27,0.67,"0,63"
